kbli_kode,provinsi,total_investasi_rp_juta,total_investasi_us_ribu,total_tki,row_count,percentage_share
36,Daerah Khusus Ibukota Jakarta,418869.07547999994,25386.004572424998,23,8,0.08184482237619124
17,Riau,415057.386857,25154.9931419,117,7,0.08110003839340311
35,Sulawesi Selatan,411237.811415,24923.503721736,198,26,0.08035371336751115
23,Sumatera Selatan,411096.26157499995,24914.924950859997,659,8,0.08032605527052965
50,Kalimantan Selatan,404524.98604,24516.665820257,117,6,0.07904206246602201
68,Sumatera Utara,399368.88838300004,24204.175056262997,3810,21,0.07803458800301023
49,Jawa Timur,399126.49699799996,24189.48466419,458,34,0.07798722599656915
50,Banten,398438.54081,24147.7903567,18,6,0.0778528029624864
29,Banten,394731.276357,23923.10766319,466,12,0.07712842291530901
42,Jawa Barat,393101.94321399997,23824.360192736,765,23,0.07681005975725619
32,Jawa Barat,392812.154776,23806.797258832,1591,43,0.07675343661503065
35,Sulawesi Tengah,389824.835665,23625.747614269996,22,20,0.07616973011499692
86,Sumatera Utara,389033.23732799996,23577.771960837003,1297,23,0.07601505594810883
43,Banten,388907.633799,23570.159621341998,1819,15,0.0759905136767343
52,Sumatera Selatan,388846.546424,23566.457363475998,240,17,0.07597857752377153
55,Jawa Tengah,382867.942391,23204.117723181,758,38,0.07481038962501645
17,Kalimantan Timur,378307.4687,22927.72537,95,1,0.0739192969637512
61,Sumatera Utara,378040.84952,22911.566637544,22,25,0.07386720097312649
31,Banten,376189.280412,22799.350333128,832,17,0.07350541407208147
7,Sumatera Utara,375994.438082,22787.541695064,94,4,0.07346734290181917
68,Sumatera Barat,372668.535115,22585.971828486,73,34,0.07281747889058217
22,Daerah Khusus Ibukota Jakarta,370219.388476,22437.53869767,168,13,0.07233892847142674
9,Kalimantan Tengah,369097.291509,22369.532819457,885,10,0.07211967660412731
6,Papua Barat Daya,367859.2,22294.49697,0,1,0.0718777600111598
47,Sumatera Utara,367177.719868,22253.195143647,504,34,0.07174460236448338
45,Jawa Tengah,359887.262741,21811.349253288,1310,40,0.07032008524557985
50,Kalimantan Barat,356551.41232500004,21609.176501209997,71,2,0.06966827755493524
10,Aceh,349614.36751300003,21188.749546683997,132,18,0.06831281535041896
26,Jawa Barat,347253.936566,21045.693124147,1474,34,0.0678515995125892
8,Sulawesi Tengah,346776.723639,21016.771132711998,251,9,0.06775835460736152
68,Nusa Tenggara Barat,346591.413866,21005.540233195,178,102,0.06772214604878418
11,Jawa Timur,339079.834176,20550.292980683,164,22,0.06625442273980475
49,Jawa Barat,336998.446289,20424.148260381,565,34,0.06584773045364767
13,Banten,336143.251511,20372.318273581,1997,20,0.0656806298754485
20,Jawa Tengah,331526.22489899996,20092.498477949637,1321,59,0.06477848706977046
24,Banten,329572.178953,19974.071453101,677,22,0.06439667673158302
